------- Config ------ 	(2020-01-17 23:15:53,962)
Random Seed: 0 	(2020-01-17 23:15:53,963)
Batch Size: 64 	(2020-01-17 23:15:53,963)
Loss: BCEWithLogitsLoss 	(2020-01-17 23:15:53,963)
Optimizer: Adam 	(2020-01-17 23:15:53,963)
Learning Rate: 0.001 	(2020-01-17 23:15:53,963)
Update Params: ['fc.weight', 'fc.bias'] 	(2020-01-17 23:15:53,964)
------- Train Start ------ 	(2020-01-17 23:15:53,964)
Epoch 1/20 train Loss: 0.6808041072871587 Acc: 0.49428480546042614 	(2020-01-18 04:01:03,710)
Epoch 1/20 val Loss: 0.6597249128879645 Acc: 0.4935897435897436 	(2020-01-18 04:33:16,115)
Epoch 2/20 train Loss: 0.6680806347224266 Acc: 0.4981672731164384 	(2020-01-18 09:17:18,388)
Epoch 2/20 val Loss: 0.6437706629435221 Acc: 0.4970352564102564 	(2020-01-18 09:49:17,282)
Epoch 3/20 train Loss: 0.6331521855097383 Acc: 0.4962082025304414 	(2020-01-18 15:42:22,984)
Epoch 3/20 val Loss: 0.631292215983073 Acc: 0.49214743589743587 	(2020-01-18 16:22:14,626)
Epoch 4/20 train Loss: 0.6209081776065913 Acc: 0.4956463446537291 	(2020-01-18 22:31:10,634)
Epoch 4/20 val Loss: 0.6304462591807047 Acc: 0.49174679487179485 	(2020-01-18 23:11:13,596)
Epoch 5/20 train Loss: 0.6235965490341187 Acc: 0.4975519049657534 	(2020-01-19 05:06:56,498)
Epoch 5/20 val Loss: 0.6242959951743101 Acc: 0.49158653846153844 	(2020-01-19 05:47:00,522)
